voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
51,0.7,0.16,0.6885151203927853,0.1484230627507326,0.995,0.001,0.306,1.0,0.005
3,0.7,0.32,0.6126969280273624,0.2328284215085219,0.687,0.0,0.074,0.846,0.159
5,0.7,0.32,0.6126969280273624,0.2328284215085219,0.702,0.007,0.089,0.915,0.213
7,0.7,0.32,0.6126969280273624,0.2328284215085219,0.725,0.012,0.112,0.949,0.224
9,0.7,0.32,0.6126969280273624,0.2328284215085219,0.759,0.017,0.146,0.966,0.207
11,0.7,0.32,0.6126969280273624,0.2328284215085219,0.772,0.007,0.159,0.985,0.213
21,0.7,0.32,0.6126969280273624,0.2328284215085219,0.844,0.036,0.231,0.997,0.153
31,0.7,0.32,0.6126969280273624,0.2328284215085219,0.907,0.032,0.294,1.0,0.093
41,0.7,0.32,0.6126969280273624,0.2328284215085219,0.943,0.018,0.33,1.0,0.057
51,0.7,0.32,0.6126969280273624,0.2328284215085219,0.942,-0.001,0.329,1.0,0.058
3,0.7,0.64,0.537215225993422,0.2751427950128484,0.56,0.0,0.023,0.893,0.333
5,0.7,0.64,0.537215225993422,0.2751427950128484,0.549,-0.006,0.012,0.926,0.377
7,0.7,0.64,0.537215225993422,0.2751427950128484,0.599,0.025,0.062,0.954,0.355
9,0.7,0.64,0.537215225993422,0.2751427950128484,0.597,-0.001,0.06,0.978,0.381
11,0.7,0.64,0.537215225993422,0.2751427950128484,0.579,-0.009,0.042,0.988,0.409
21,0.7,0.64,0.537215225993422,0.2751427950128484,0.642,0.032,0.105,0.997,0.355
31,0.7,0.64,0.537215225993422,0.2751427950128484,0.66,0.009,0.123,1.0,0.34
41,0.7,0.64,0.537215225993422,0.2751427950128484,0.707,0.023,0.17,1.0,0.293
51,0.7,0.64,0.537215225993422,0.2751427950128484,0.704,-0.002,0.167,1.0,0.296
3,0.7,1.28,0.5099257037274031,0.2850835894372168,0.523,0.0,0.013,0.862,0.339
5,0.7,1.28,0.5099257037274031,0.2850835894372168,0.496,-0.014,-0.014,0.927,0.431
7,0.7,1.28,0.5099257037274031,0.2850835894372168,0.506,0.005,-0.004,0.966,0.46
9,0.7,1.28,0.5099257037274031,0.2850835894372168,0.542,0.018,0.032,0.978,0.436
11,0.7,1.28,0.5099257037274031,0.2850835894372168,0.504,-0.019,-0.006,0.991,0.487
21,0.7,1.28,0.5099257037274031,0.2850835894372168,0.528,0.012,0.018,0.999,0.471
31,0.7,1.28,0.5099257037274031,0.2850835894372168,0.499,-0.015,-0.011,1.0,0.501
41,0.7,1.28,0.5099257037274031,0.2850835894372168,0.551,0.026,0.041,1.0,0.449
51,0.7,1.28,0.5099257037274031,0.2850835894372168,0.564,0.006,0.054,1.0,0.436
3,0.7,2.56,0.5025201219707741,0.2873618405611304,0.502,0.0,-0.001,0.876,0.374
5,0.7,2.56,0.5025201219707741,0.2873618405611304,0.478,-0.012,-0.025,0.947,0.469
7,0.7,2.56,0.5025201219707741,0.2873618405611304,0.501,0.012,-0.002,0.963,0.462
9,0.7,2.56,0.5025201219707741,0.2873618405611304,0.52,0.01,0.017,0.985,0.465
11,0.7,2.56,0.5025201219707741,0.2873618405611304,0.522,0.001,0.019,0.983,0.461
21,0.7,2.56,0.5025201219707741,0.2873618405611304,0.516,-0.003,0.013,1.0,0.484
31,0.7,2.56,0.5025201219707741,0.2873618405611304,0.529,0.007,0.026,1.0,0.471
41,0.7,2.56,0.5025201219707741,0.2873618405611304,0.552,0.012,0.049,1.0,0.448
51,0.7,2.56,0.5025201219707741,0.2873618405611304,0.511,-0.021,0.008,1.0,0.489
3,0.75,0.02,0.75,0.02,0.841,0.0,0.091,0.841,0.0
5,0.75,0.02,0.75,0.02,0.893,0.026,0.143,0.893,0.0
7,0.75,0.02,0.75,0.02,0.932,0.02,0.182,0.932,0.0
9,0.75,0.02,0.75,0.02,0.954,0.011,0.204,0.954,0.0
11,0.75,0.02,0.75,0.02,0.968,0.007,0.218,0.968,0.0
